isco08,isco_name,feor_08,feor_08_name
2424,Továbbképzési és személyzet-fejlesztési foglalkozásúak,2524,Képzési és személyzetfejlesztési szakértő
2431,Reklám- és marketing foglalkozásúak,2531,"Piackutató, reklám- és marketingtevékenységet tervező, szervező"
2431,Reklám- és marketing foglalkozásúak,3632,Marketing- és PR-ügyintéző
2432,PR foglalkozásúak,2532,"PR-tevékenységet tervező, szervező"
2432,PR foglalkozásúak,3632,Marketing- és PR-ügyintéző
2433,Műszaki és gyógyászati termékek/szolgáltatások értékesítői (kivéve az IKT-t),2533,"Kereskedelmi tervező, szervező"
2434,Információs és kommunikációs technológiák értékesítői,2534,"Informatikai és telekommunikációs technológiai termékek értékesítését tervező, szervező"
2511,Rendszerelemzők,2141,Rendszerelemző (informatikai)
2512,Szoftverfejlesztők,2142,Szoftverfejlesztő
2513,Web- és multimédia-fejlesztők,2143,Hálózat- és multimédia-fejlesztő
2514,Alkalmazásfejlesztők,2144,Alkalmazásprogramozó
2519,"Máshová nem sorolható szoftver- és alkalmazásfejlesztők, -elemzők",2149,"Egyéb szoftver- és alkalmazásfejlesztő, -elemző"
2521,Adatbázis-tervezők és -rendszergazdák,2151,Adatbázis-tervező és -üzemeltető
2522,Rendszergazdák,2152,Rendszergazda
2523,Számítógép-hálózati foglalkozásúak,2153,"Számítógép-hálózati elemző, üzemeltető"
2529,Máshová nem sorolható adatbázis- és hálózati foglalkozásúak,2159,"Egyéb adatbázis- és hálózati elemző, üzemeltető"
2611,"Ügyvédek, ügyészek, jogszabály-szövegezők",2612,Ügyész
2611,"Ügyvédek, ügyészek, jogszabály-szövegezők",2615,Ügyvéd
2612,Bírák,2613,Bíró
2619,Máshová nem sorolható jogi foglalkozásúak,2611,"Jogász, jogtanácsos"
2619,Máshová nem sorolható jogi foglalkozásúak,2614,Közjegyző
2619,Máshová nem sorolható jogi foglalkozásúak,2619,Egyéb jogi foglalkozású
2619,Máshová nem sorolható jogi foglalkozásúak,2910,Egyéb magasan képzett ügyintéző
2621,"Levél- és irattárosok, muzeológusok",2712,Levéltáros
2621,"Levél- és irattárosok, muzeológusok",2713,"Muzeológus, múzeumi gyűjteménygondnok"
2622,Könyvtárosok és hasonló információs foglalkozásúak,2711,"Könyvtáros, informatikus könyvtáros"
2631,Közgazdászok,2624,Elemző közgazdász
2631,Közgazdászok,2629,Egyéb társadalomtudományi foglalkozású
2631,Közgazdászok,2910,Egyéb magasan képzett ügyintéző
2632,"Szociológusok, antropológusok, és hasonló foglalkozásúak",2623,Néprajzkutató
2632,"Szociológusok, antropológusok, és hasonló foglalkozásúak",2626,"Szociológus, demográfus"
2632,"Szociológusok, antropológusok, és hasonló foglalkozásúak",2629,Egyéb társadalomtudományi foglalkozású
2633,"Filozófusok, történészek és politológusok",2621,"Filozófus, politológus"
2633,"Filozófusok, történészek és politológusok",2622,"Történész, régész"
2634,Pszichológusok,2628,Pszichológus
2635,"Szociális munkások, tanácsadással foglalkozó szakemberek",2311,Szociálpolitikus
2635,"Szociális munkások, tanácsadással foglalkozó szakemberek",2312,Szociális munkás és tanácsadó
2636,Vallási foglalkozásúak,2730,"Pap (lelkész), egyházi foglalkozású"
2641,Írók és hasonló szerzők,2715,Könyv- és lapkiadó szerkesztője
2641,Írók és hasonló szerzők,2721,Író (újságíró nélkül)
2642,Újságírók,2715,Könyv- és lapkiadó szerkesztője
2642,Újságírók,2716,"Újságíró, rádióműsor-, televízióműsor-szerkesztő"
2643,"Fordítók, tolmácsok és egyéb nyelvészek",2627,"Nyelvész, fordító, tolmács"
2643,"Fordítók, tolmácsok és egyéb nyelvészek",3514,Jelnyelvi tolmács
2651,Vizuális művészek,2722,Képzőművész
2652,"Zenészek, énekesek és zeneszerzők",2724,"Zeneszerző, zenész, énekes"
2653,Táncosok és koreográfusok,2727,"Táncművész, koreográfus"
2654,"Film, színház- és hasonló rendezők, producerek",2725,"Rendező, operatőr"
2655,Színművészek,2726,"Színész, bábművész"
2656,"Rádió-, televízió- és egyéb médiabemondók",3719,Egyéb művészeti és kulturális foglalkozású
2659,Máshová nem sorolható képző- és előadó-művészek,2728,Cirkuszi- és hasonló előadóművész
2659,Máshová nem sorolható képző- és előadó-művészek,2729,Egyéb alkotó- és előadó-művészi foglalkozású (felsőfokú képzettséghez kapcsolódó)
3111,Kémia- és fizika tudományok technikusai,3139,"Egyéb, máshova nem sorolható technikus"
3112,Építésztechnikusok,3117,Építő- és építésztechnikus
3113,Erősáramú villamosipari technikusok,3121,Villamosipari technikus (energetikai technikus)
3114,Gyengeáramú villamosipari technikusok,3122,Villamosipari technikus (elektronikai technikus)
3115,Gépésztechnikusok,3116,Gépésztechnikus
3116,Vegyésztechnikusok,3115,Vegyésztechnikus
3117,Bányászati és kohászati technikusok,3111,Bányászati technikus
3117,Bányászati és kohászati technikusok,3112,Kohó- és anyagtechnikus
3118,Műszaki rajzolók,3136,"Műszaki rajzoló, szerkesztő"
